,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date
41866,City Hotel,0,0,2015,8,35,25,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,106.0,0,0,Check-Out,2015-08-26,2015-08-25
44794,City Hotel,0,60,2015,10,42,12,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-10-14,2015-10-12
46736,City Hotel,0,28,2016,1,4,18,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,76.69,0,0,Check-Out,2016-01-20,2016-01-18
88165,City Hotel,0,106,2016,4,18,29,1,2,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,B,1,No Deposit,14.0,,0,Transient-Party,94.5,0,0,Check-Out,2016-05-02,2016-04-29
12678,Resort Hotel,1,110,2017,7,28,11,0,5,2,1.0,0,BB,ISR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,200.0,0,1,Canceled,2017-03-28,2017-07-11
107033,City Hotel,0,0,2017,3,10,7,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,1,No Deposit,22.0,,0,Transient,0.0,0,0,Check-Out,2017-03-07,2017-03-07
80617,City Hotel,0,42,2015,11,47,16,1,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Contract,104.42,0,1,Check-Out,2015-11-21,2015-11-16
26198,Resort Hotel,0,50,2016,7,30,17,2,5,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,276.6,0,1,Check-Out,2016-07-24,2016-07-17
9270,Resort Hotel,1,224,2016,11,46,6,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,35.1,0,0,Canceled,2016-06-06,2016-11-06
8907,Resort Hotel,0,385,2016,10,43,19,1,4,3,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,C,1,No Deposit,,,0,Transient-Party,79.0,0,0,Check-Out,2016-10-24,2016-10-19
98095,City Hotel,0,276,2016,9,39,22,0,3,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,178,Transient-Party,95.67,0,0,Check-Out,2016-09-25,2016-09-22
82711,City Hotel,0,0,2016,1,2,4,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,82.0,0,0,Check-Out,2016-01-05,2016-01-04
100211,City Hotel,0,386,2016,10,44,23,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-10-25,2016-10-23
2556,Resort Hotel,1,30,2015,10,43,21,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,59.4,0,0,Canceled,2015-10-05,2015-10-21
16186,Resort Hotel,0,196,2015,8,33,11,2,5,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,142.0,,0,Contract,96.3,0,0,Check-Out,2015-08-18,2015-08-11
86081,City Hotel,0,126,2016,3,13,24,0,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,55.0,0,0,Check-Out,2016-03-27,2016-03-24
33467,Resort Hotel,0,0,2017,2,8,21,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-02-24,2017-02-21
105694,City Hotel,0,6,2017,2,7,13,1,0,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,143.0,0,1,Check-Out,2017-02-14,2017-02-13
30086,Resort Hotel,0,25,2016,11,46,7,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,40.0,,0,Transient,60.65,0,0,Check-Out,2016-11-14,2016-11-07
106950,City Hotel,0,0,2017,3,9,4,0,1,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1,Check-Out,2017-03-05,2017-03-04
51770,City Hotel,1,30,2016,5,22,25,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,98.1,0,0,Canceled,2016-05-04,2016-05-25
41584,City Hotel,0,6,2015,8,34,18,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,E,0,No Deposit,14.0,,0,Transient,75.0,0,2,Check-Out,2015-08-21,2015-08-18
47258,City Hotel,1,38,2016,2,7,13,2,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,0,Canceled,2016-01-15,2016-02-13
57821,City Hotel,1,179,2016,10,40,1,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.9,0,2,Canceled,2016-09-01,2016-10-01
17846,Resort Hotel,0,28,2015,10,43,19,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,,,0,Transient,43.0,1,2,Check-Out,2015-10-23,2015-10-19
107041,City Hotel,0,31,2017,3,9,2,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,42.0,,0,Transient,76.5,0,0,Check-Out,2017-03-07,2017-03-02
13965,Resort Hotel,0,0,2016,1,3,14,0,1,1,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,40.0,0,1,Check-Out,2016-01-15,2016-01-14
38441,Resort Hotel,0,33,2017,7,28,11,2,5,2,0.0,0,BB,USA,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,241.86,1,0,Check-Out,2017-07-18,2017-07-11
58544,City Hotel,1,37,2016,10,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,105.0,0,0,Canceled,2016-09-06,2016-10-13
1785,Resort Hotel,0,107,2015,9,38,14,1,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,76.67,0,1,Check-Out,2015-09-20,2015-09-14
8625,Resort Hotel,1,393,2016,10,41,8,2,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,72.0,0,0,Canceled,2015-12-17,2016-10-08
4930,Resort Hotel,1,74,2016,4,15,9,2,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,91.0,,0,Transient-Party,36.0,0,0,Canceled,2016-02-27,2016-04-09
55228,City Hotel,1,99,2016,8,33,8,1,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,166.4,0,2,Canceled,2016-07-28,2016-08-08
81871,City Hotel,1,178,2016,4,18,28,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,46,Transient,110.0,0,0,Canceled,2015-12-18,2016-04-28
31815,Resort Hotel,0,3,2017,1,1,7,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,330.0,,0,Transient-Party,44.0,0,1,Check-Out,2017-01-08,2017-01-07
96345,City Hotel,0,156,2016,8,36,28,2,2,2,1.0,0,BB,LUX,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,158.95,0,1,Check-Out,2016-09-01,2016-08-28
95938,City Hotel,0,115,2016,8,35,23,0,3,2,2.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,14.0,,0,Transient,222.0,1,1,Check-Out,2016-08-26,2016-08-23
10678,Resort Hotel,1,103,2017,3,13,27,1,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495.0,,0,Transient,73.0,0,0,Canceled,2016-12-23,2017-03-27
72706,City Hotel,1,156,2017,8,31,3,2,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,122.5,0,0,Canceled,2017-07-27,2017-08-03
67534,City Hotel,1,219,2017,5,18,4,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,3,Canceled,2016-10-13,2017-05-04
66434,City Hotel,1,283,2017,4,16,20,0,3,2,0.0,0,SC,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0,Canceled,2016-07-13,2017-04-20
17557,Resort Hotel,0,0,2015,10,42,13,0,1,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,82.0,1,0,Check-Out,2015-10-14,2015-10-13
68133,City Hotel,1,151,2017,5,19,13,2,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0,Canceled,2016-12-13,2017-05-13
110801,City Hotel,0,29,2017,4,17,28,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,143.5,0,1,Check-Out,2017-05-02,2017-04-28
42945,City Hotel,0,168,2015,9,37,11,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,50.0,0,0,Check-Out,2015-09-13,2015-09-11
102526,City Hotel,0,35,2016,11,49,28,1,1,1,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,80.0,0,0,Check-Out,2016-11-30,2016-11-28
81816,City Hotel,1,211,2016,5,23,31,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,46,Transient,115.0,0,0,Canceled,2015-12-18,2016-05-31
47269,City Hotel,1,1,2016,2,8,14,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,0,No-Show,2016-02-14,2016-02-14
113887,City Hotel,0,199,2017,6,24,12,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Check-Out,2017-06-14,2017-06-12
47787,City Hotel,0,61,2016,3,10,3,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,79.36,0,1,Check-Out,2016-03-08,2016-03-03
41089,City Hotel,0,2,2015,8,33,12,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,114.0,1,1,Check-Out,2015-08-13,2015-08-12
28244,Resort Hotel,0,127,2016,9,39,20,1,5,3,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,,0,Transient,163.33,1,0,Check-Out,2016-09-26,2016-09-20
115408,City Hotel,0,405,2017,7,27,4,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,114.4,0,0,Check-Out,2017-07-06,2017-07-04
42357,City Hotel,1,65,2015,9,36,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-07-25,2015-09-05
25359,Resort Hotel,0,0,2016,6,26,21,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,145.0,0,0,Check-Out,2016-06-23,2016-06-21
56185,City Hotel,1,175,2016,8,36,31,0,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.63,0,0,Canceled,2016-03-12,2016-08-31
51890,City Hotel,0,316,2016,5,22,26,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,110.0,0,0,Check-Out,2016-05-29,2016-05-26
117386,City Hotel,0,66,2017,7,31,30,2,2,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,142.0,0,1,Check-Out,2017-08-03,2017-07-30
12236,Resort Hotel,1,101,2017,6,25,19,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,135.0,0,0,Canceled,2017-06-02,2017-06-19
54349,City Hotel,1,60,2016,7,29,14,0,1,1,0.0,0,BB,AGO,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,124.2,0,0,Canceled,2016-05-16,2016-07-14
3347,Resort Hotel,1,45,2015,12,49,5,2,1,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,68.0,0,0,Canceled,2015-11-24,2015-12-05
21200,Resort Hotel,0,3,2016,2,8,20,0,1,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,55.0,1,0,Check-Out,2016-02-21,2016-02-20
51034,City Hotel,1,273,2016,5,20,13,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,95.0,0,0,Canceled,2015-12-18,2016-05-13
107538,City Hotel,0,1,2017,3,10,10,2,2,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,152.0,,0,Transient,58.45,0,0,Check-Out,2017-03-14,2017-03-10
114248,City Hotel,0,72,2017,6,24,17,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,1,Check-Out,2017-06-19,2017-06-17
65892,City Hotel,1,76,2017,4,15,9,2,3,2,0.0,0,BB,NOR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,100.8,0,0,Canceled,2017-03-27,2017-04-09
13463,Resort Hotel,1,145,2017,8,33,16,1,4,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,252.0,0,1,Canceled,2017-03-27,2017-08-16
92792,City Hotel,0,125,2016,7,28,9,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0,1,Check-Out,2016-07-12,2016-07-09
101636,City Hotel,0,10,2016,11,46,11,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,86.72,0,1,Check-Out,2016-11-15,2016-11-11
41206,City Hotel,1,0,2015,8,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Canceled,2015-08-14,2015-08-14
19771,Resort Hotel,0,41,2015,12,53,31,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,145.87,0,1,Check-Out,2016-01-03,2015-12-31
45302,City Hotel,0,69,2015,10,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,37.0,,58,Transient-Party,85.67,0,0,Check-Out,2015-10-28,2015-10-25
42943,City Hotel,0,48,2015,9,37,11,0,1,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,39.0,,48,Transient-Party,80.0,0,0,Check-Out,2015-09-12,2015-09-11
72556,City Hotel,1,98,2017,7,31,31,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient,155.0,0,1,Canceled,2017-07-23,2017-07-31
117333,City Hotel,0,121,2017,7,31,31,1,2,2,0.0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,93.33,0,1,Check-Out,2017-08-03,2017-07-31
74684,City Hotel,1,365,2015,10,42,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-01-30,2015-10-17
110999,City Hotel,0,67,2017,5,18,2,0,3,2,0.0,0,BB,NOR,Groups,Corporate,0,0,0,A,A,0,No Deposit,,409.0,0,Transient-Party,120.0,0,0,Check-Out,2017-05-05,2017-05-02
36815,Resort Hotel,0,203,2017,5,21,25,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,58.2,0,0,Check-Out,2017-05-30,2017-05-25
100237,City Hotel,0,386,2016,10,44,23,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,2016-10-25,2016-10-23
106410,City Hotel,0,49,2017,2,8,20,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.1,0,1,Check-Out,2017-02-25,2017-02-20
65680,City Hotel,1,69,2017,4,14,6,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,197.0,0,Transient,85.0,0,0,Canceled,2017-01-27,2017-04-06
61296,City Hotel,1,95,2016,12,50,7,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,77.86,0,2,Canceled,2016-11-22,2016-12-07
118990,City Hotel,0,19,2017,8,35,27,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,1,Check-Out,2017-08-28,2017-08-27
73895,City Hotel,1,258,2015,7,27,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01,2015-07-02
9046,Resort Hotel,1,8,2016,10,44,25,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,40.0,0,0,No-Show,2016-10-25,2016-10-25
84440,City Hotel,0,12,2016,2,9,23,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.07,0,1,Check-Out,2016-02-26,2016-02-23
40431,City Hotel,1,110,2015,7,30,25,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-22,2015-07-25
33698,Resort Hotel,0,48,2017,2,9,28,0,1,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,49.74,0,1,Check-Out,2017-03-01,2017-02-28
88417,City Hotel,0,88,2016,5,19,3,0,3,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,3.0,,0,Transient-Party,138.0,0,1,Check-Out,2016-05-06,2016-05-03
31410,Resort Hotel,0,78,2016,12,53,26,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,46.8,0,1,Check-Out,2016-12-28,2016-12-26
10675,Resort Hotel,1,103,2017,3,13,27,1,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495.0,,0,Transient,65.0,0,0,Canceled,2016-12-23,2017-03-27
51324,City Hotel,1,116,2016,5,21,18,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,104.5,0,0,Canceled,2016-01-23,2016-05-18
12987,Resort Hotel,1,42,2017,7,30,26,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,220.0,0,2,Canceled,2017-06-19,2017-07-26
42618,City Hotel,0,7,2015,9,37,8,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2015-09-10,2015-09-08
110704,City Hotel,0,26,2017,4,17,28,1,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.0,0,1,Check-Out,2017-05-01,2017-04-28
32353,Resort Hotel,0,1,2017,1,4,23,1,0,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241.0,,0,Transient,57.06,1,1,Check-Out,2017-01-24,2017-01-23
89891,City Hotel,0,128,2016,5,22,27,0,2,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,207.9,0,2,Check-Out,2016-05-29,2016-05-27
4061,Resort Hotel,1,140,2016,2,7,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,50.0,0,0,Canceled,2015-12-11,2016-02-12
29852,Resort Hotel,0,10,2016,11,45,3,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,61.5,0,2,Check-Out,2016-11-07,2016-11-03
33720,Resort Hotel,0,0,2017,3,9,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,60.0,0,0,Check-Out,2017-03-02,2017-03-01
98,Resort Hotel,0,101,2015,7,27,3,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,99.3,1,2,Check-Out,2015-07-10,2015-07-03
7627,Resort Hotel,1,78,2016,8,34,17,1,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,231.0,0,0,Canceled,2016-06-05,2016-08-17
105006,City Hotel,0,31,2017,1,4,25,0,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,135.5,0,1,Check-Out,2017-01-27,2017-01-25
84213,City Hotel,0,41,2016,2,8,18,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient-Party,72.37,0,0,Check-Out,2016-02-21,2016-02-18
92114,City Hotel,0,36,2016,6,27,29,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,133.1,0,0,Check-Out,2016-07-01,2016-06-29
106542,City Hotel,0,207,2017,2,8,24,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,9.0,,0,Transient,79.2,0,1,Check-Out,2017-02-26,2017-02-24
5394,Resort Hotel,1,168,2016,4,18,28,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,257.0,,0,Transient,80.0,0,0,Canceled,2016-01-19,2016-04-28
24090,Resort Hotel,0,107,2016,5,19,5,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,37.4,0,0,Check-Out,2016-05-12,2016-05-05
61185,City Hotel,1,16,2016,12,49,3,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.89,0,1,Canceled,2016-11-22,2016-12-03
117391,City Hotel,0,118,2017,7,31,30,2,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,225.0,0,2,Check-Out,2017-08-03,2017-07-30
18022,Resort Hotel,0,1,2016,3,10,2,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,,118.0,0,Transient,40.0,0,0,Check-Out,2016-03-03,2016-03-02
20252,Resort Hotel,0,1,2016,1,4,21,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,127.0,,0,Transient,26.5,0,0,Check-Out,2016-01-22,2016-01-21
47911,City Hotel,1,70,2016,3,11,9,0,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,1,Canceled,2016-01-13,2016-03-09
112139,City Hotel,0,7,2017,5,20,18,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1,Check-Out,2017-05-21,2017-05-18
15094,Resort Hotel,1,214,2015,10,40,3,1,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,208.0,,0,Transient,34.0,0,0,Canceled,2015-06-09,2015-10-03
101861,City Hotel,0,59,2016,11,47,17,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016-11-20,2016-11-17
101926,City Hotel,0,1,2016,11,47,19,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.0,0,1,Check-Out,2016-11-20,2016-11-19
101951,City Hotel,0,14,2016,11,47,18,1,2,1,0.0,0,BB,GRC,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,25.0,,0,Transient-Party,75.0,0,0,Check-Out,2016-11-21,2016-11-18
119204,City Hotel,0,213,2017,8,35,28,1,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,0,Transient-Party,104.0,0,0,Check-Out,2017-09-01,2017-08-28
73932,City Hotel,1,265,2015,7,28,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01,2015-07-09
4959,Resort Hotel,0,275,2016,4,16,10,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,74.45,0,0,Check-Out,2016-04-17,2016-04-10
29821,Resort Hotel,0,29,2016,11,45,4,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,55.8,0,2,Check-Out,2016-11-06,2016-11-04
28757,Resort Hotel,0,131,2016,10,42,9,2,0,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,57.0,0,0,Check-Out,2016-10-11,2016-10-09
62871,City Hotel,1,59,2017,1,4,23,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326.0,,0,Transient,80.0,0,0,Canceled,2016-11-25,2017-01-23
40809,City Hotel,1,112,2015,8,32,7,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-06-20,2015-08-07
