,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
54602,City Hotel,1,292,2016,July,30,21,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Canceled,2016-07-08
61931,City Hotel,1,252,2016,December,53,28,2,7,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,69.42,0,1,Canceled,2016-04-27
25864,Resort Hotel,0,113,2016,July,28,7,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,183.86,1,1,Check-Out,2016-07-14
89401,City Hotel,0,198,2016,May,21,20,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,98,Transient-Party,65.0,0,0,Check-Out,2016-05-21
61076,City Hotel,1,290,2016,December,49,1,1,3,2,0.0,0,BB,SVK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.95,0,0,Canceled,2016-10-27
17003,Resort Hotel,0,239,2015,September,38,19,1,1,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,248.0,,0,Transient-Party,80.0,0,0,Check-Out,2015-09-21
21144,Resort Hotel,0,2,2016,February,8,17,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,43.0,0,0,Check-Out,2016-02-19
94291,City Hotel,1,6,2016,November,48,24,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,3,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Canceled,2016-11-23
56033,City Hotel,1,226,2016,August,35,27,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0,0,Canceled,2016-08-12
97545,City Hotel,0,259,2016,September,39,21,0,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,1,A,A,0,No Deposit,3.0,,0,Transient-Party,91.0,0,0,Check-Out,2016-09-22
32663,Resort Hotel,0,202,2017,January,4,28,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,55.8,0,1,Check-Out,2017-02-01
43692,City Hotel,0,83,2015,September,39,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-09-25
72809,City Hotel,1,123,2017,August,32,7,1,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,1,Canceled,2017-04-06
8889,Resort Hotel,1,91,2016,October,43,18,0,4,2,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,75.5,0,0,Canceled,2016-07-21
26670,Resort Hotel,0,203,2016,August,32,1,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,127.71,0,1,Check-Out,2016-08-08
99275,City Hotel,0,151,2016,October,41,6,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Transient,91.48,0,2,Check-Out,2016-10-11
39471,Resort Hotel,0,192,2017,August,32,12,2,5,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,199.15,1,3,Check-Out,2017-08-19
31635,Resort Hotel,0,73,2016,December,53,30,1,2,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,E,0,No Deposit,,,0,Transient,176.0,1,1,Check-Out,2017-01-02
81439,City Hotel,1,2,2015,December,50,11,2,5,1,0.0,0,BB,AGO,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,104.0,0,1,No-Show,2015-12-11
38944,Resort Hotel,0,5,2017,August,31,3,0,1,3,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,F,H,1,No Deposit,360.0,,0,Transient-Party,230.35,0,0,Check-Out,2017-08-04
15491,Resort Hotel,0,35,2015,July,29,16,2,4,2,0.0,0,HB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,109.3,0,2,Check-Out,2015-07-22
80337,City Hotel,1,33,2015,December,50,9,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,44.0,,0,Transient,110.0,0,0,Canceled,2015-11-16
74823,City Hotel,1,335,2015,September,38,17,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,5.0,,0,Transient,85.0,0,0,Canceled,2015-05-14
63972,City Hotel,1,43,2017,February,8,25,1,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,108.0,0,0,Canceled,2017-01-25
25363,Resort Hotel,0,52,2016,June,26,20,1,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,47.0,0,Transient,57.0,0,0,Check-Out,2016-06-23
27321,Resort Hotel,0,79,2016,August,35,22,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,209.0,0,2,Check-Out,2016-08-26
91372,City Hotel,0,45,2016,June,25,17,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-06-20
19798,Resort Hotel,0,53,2015,December,53,27,2,5,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,65.43,0,0,Check-Out,2016-01-03
98997,City Hotel,0,29,2016,October,41,5,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,152.0,0,2,Check-Out,2016-10-07
7209,Resort Hotel,0,147,2016,July,31,27,2,6,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,165.0,1,3,Check-Out,2016-08-04
16018,Resort Hotel,0,120,2015,August,32,4,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,90.95,0,1,Check-Out,2015-08-11
79083,City Hotel,0,5,2015,October,43,19,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,112.0,,0,Transient-Party,80.0,0,0,Check-Out,2015-10-22
47266,City Hotel,1,1,2016,February,8,14,1,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,0,No-Show,2016-02-14
94166,City Hotel,0,301,2016,July,31,30,1,1,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Check-Out,2016-08-01
36815,Resort Hotel,0,203,2017,May,21,25,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,58.2,0,0,Check-Out,2017-05-30
40631,City Hotel,0,28,2015,August,32,3,1,3,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-08-07
39610,Resort Hotel,0,330,2017,August,34,20,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,240.0,,0,Transient,172.8,0,2,Check-Out,2017-08-23
29271,Resort Hotel,0,222,2016,October,43,17,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,I,1,No Deposit,240.0,,0,Transient,64.0,0,2,Check-Out,2016-10-24
4129,Resort Hotel,0,133,2016,February,8,15,1,1,2,0.0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient-Party,26.1,0,1,Check-Out,2016-02-17
24540,Resort Hotel,0,27,2016,May,22,24,0,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,G,0,No Deposit,,,0,Transient,0.0,1,0,Check-Out,2016-05-25
88821,City Hotel,0,0,2016,May,20,12,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,85.93,0,0,Check-Out,2016-05-13
46924,City Hotel,1,58,2016,January,5,27,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,87.0,,0,Transient-Party,81.0,0,0,Canceled,2016-01-26
35699,Resort Hotel,0,253,2017,April,17,23,2,5,1,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,2,No Deposit,273.0,,0,Transient-Party,51.37,0,0,Check-Out,2017-04-30
78046,City Hotel,0,8,2015,September,40,29,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2015-10-02
85654,City Hotel,0,36,2016,March,12,16,0,3,3,0.0,0,BB,TWN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.0,0,2,Check-Out,2016-03-19
103529,City Hotel,0,20,2016,December,52,23,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.4,0,0,Check-Out,2016-12-27
82986,City Hotel,0,20,2016,January,2,4,1,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,48.33,0,0,Check-Out,2016-01-10
78813,City Hotel,0,64,2015,October,42,16,0,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,50.0,,0,Transient-Party,85.0,0,0,Check-Out,2015-10-17
3149,Resort Hotel,0,36,2015,November,47,20,0,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,64.0,0,0,Check-Out,2015-11-22
91466,City Hotel,0,93,2016,June,26,20,1,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,1,Check-Out,2016-06-22
26953,Resort Hotel,0,110,2016,August,33,8,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,199.29,0,1,Check-Out,2016-08-15
64255,City Hotel,1,31,2017,March,9,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,118.0,0,0,Canceled,2017-02-05
23719,Resort Hotel,0,197,2016,April,18,30,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,298.0,,0,Transient-Party,54.5,0,0,Check-Out,2016-05-02
85159,City Hotel,0,5,2016,March,11,8,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,66.0,0,0,Check-Out,2016-03-11
27846,Resort Hotel,0,245,2016,September,37,6,2,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,E,0,No Deposit,,,0,Transient-Party,87.0,0,2,Check-Out,2016-09-13
110058,City Hotel,0,167,2017,April,16,17,1,3,3,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,16.0,,0,Transient-Party,116.1,0,0,Check-Out,2017-04-21
104121,City Hotel,0,79,2017,January,1,2,1,3,3,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,119.0,0,1,Check-Out,2017-01-06
33917,Resort Hotel,0,192,2017,March,9,2,1,3,2,0.0,0,BB,NLD,Groups,Corporate,0,0,0,D,F,0,No Deposit,,223.0,185,Transient-Party,47.0,0,0,Check-Out,2017-03-06
57814,City Hotel,1,261,2016,October,40,1,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,96.0,0,0,Canceled,2016-01-14
39079,Resort Hotel,0,155,2017,July,31,31,2,5,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,268.0,0,3,Check-Out,2017-08-07
32870,Resort Hotel,0,10,2017,February,6,6,1,1,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,507.0,0,Transient-Party,90.0,0,0,Check-Out,2017-02-08
58848,City Hotel,1,154,2016,October,43,16,2,2,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,151.2,0,0,Canceled,2016-05-20
38108,Resort Hotel,0,4,2017,July,27,6,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,206.0,0,1,Check-Out,2017-07-09
114978,City Hotel,0,8,2017,June,26,29,0,1,1,0.0,0,BB,ESP,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,170.0,0,0,Check-Out,2017-06-30
62658,City Hotel,1,54,2017,January,3,18,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,171.0,,0,Transient,65.0,0,0,Canceled,2016-11-25
69267,City Hotel,1,184,2017,May,22,28,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,130.0,0,0,Canceled,2016-11-25
53912,City Hotel,0,184,2016,July,27,1,2,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,1,Check-Out,2016-07-05
41719,City Hotel,0,0,2015,August,34,22,1,1,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.0,0,1,Check-Out,2015-08-24
106812,City Hotel,0,61,2017,February,9,26,2,3,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,94.5,0,0,Check-Out,2017-03-03
102550,City Hotel,0,38,2016,November,48,26,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,98.0,0,0,Check-Out,2016-12-01
12353,Resort Hotel,1,342,2017,June,26,25,2,5,3,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,265.0,0,0,Canceled,2016-07-18
34447,Resort Hotel,0,181,2017,March,9,1,6,19,2,0.0,0,HB,CN,Groups,TA/TO,0,0,0,A,A,2,No Deposit,440.0,,0,Transient-Party,55.8,0,1,Check-Out,2017-03-26
11612,Resort Hotel,1,60,2017,May,21,21,2,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,169.0,0,Transient-Party,50.0,0,0,Canceled,2017-05-17
87877,City Hotel,0,64,2016,April,18,25,1,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,1,Check-Out,2016-04-27
36008,Resort Hotel,0,0,2017,May,18,5,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240.0,,0,Transient,137.0,0,1,Check-Out,2017-05-07
32892,Resort Hotel,0,10,2017,February,6,6,1,1,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,E,0,No Deposit,,507.0,0,Transient-Party,90.0,0,0,Check-Out,2017-02-08
113985,City Hotel,0,24,2017,June,24,11,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,105.64,0,1,Check-Out,2017-06-15
81010,City Hotel,1,86,2016,January,4,22,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,35,Transient,85.0,0,0,Canceled,2015-12-02
64820,City Hotel,1,52,2017,March,11,17,0,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.0,0,0,Canceled,2017-02-01
39226,Resort Hotel,0,31,2017,August,32,7,1,4,2,1.0,0,HB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,283.0,0,2,Check-Out,2017-08-12
13509,Resort Hotel,1,151,2017,August,33,17,2,6,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,217.5,0,1,Canceled,2017-03-27
1983,Resort Hotel,1,67,2015,September,39,25,2,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,109.0,0,2,Canceled,2015-08-31
51163,City Hotel,1,79,2016,May,20,14,2,1,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.3,0,0,Canceled,2016-03-02
26342,Resort Hotel,0,2,2016,July,31,28,0,1,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,259.0,1,1,Check-Out,2016-07-29
43093,City Hotel,1,12,2015,September,38,14,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,No-Show,2015-09-14
84671,City Hotel,0,115,2016,February,9,27,2,2,2,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,134.0,,0,Transient-Party,86.0,0,0,Check-Out,2016-03-02
101691,City Hotel,0,1,2016,November,47,15,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,75.0,0,1,Check-Out,2016-11-17
88666,City Hotel,0,11,2016,May,19,7,2,1,2,0.0,0,SC,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,1,Check-Out,2016-05-10
74919,City Hotel,1,136,2015,July,29,17,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient,60.0,0,0,Canceled,2015-05-29
62619,City Hotel,1,55,2017,January,3,18,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,79.0,0,0,Canceled,2016-11-24
68969,City Hotel,1,305,2017,May,21,24,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Canceled,2017-03-02
79906,City Hotel,0,8,2015,November,45,5,0,2,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,D,0,No Deposit,14.0,,0,Transient,99.5,0,0,Check-Out,2015-11-07
1739,Resort Hotel,1,148,2015,September,37,11,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,97.99,0,0,Canceled,2015-06-25
22936,Resort Hotel,0,35,2016,April,15,8,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,250.0,,0,Transient,54.0,0,0,Check-Out,2016-04-10
113309,City Hotel,0,208,2017,June,22,1,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,101.38,0,1,Check-Out,2017-06-05
50071,City Hotel,1,142,2016,April,17,22,2,3,2,0.0,0,BB,POL,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,103.0,0,0,Canceled,2016-01-18
75701,City Hotel,1,295,2015,August,32,8,2,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Canceled,2015-07-06
112605,City Hotel,0,208,2017,May,21,24,0,2,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,114.4,0,0,Check-Out,2017-05-26
77365,City Hotel,1,19,2015,October,41,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,90.0,0,0,Canceled,2015-09-17
8885,Resort Hotel,1,22,2016,October,43,18,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,1,Canceled,2016-10-06
111440,City Hotel,0,35,2017,May,19,10,0,1,1,0.0,0,BB,BEL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,39.0,,0,Transient-Party,140.0,0,0,Check-Out,2017-05-11
36880,Resort Hotel,0,203,2017,May,21,25,2,5,2,1.0,0,BB,GBR,Groups,TA/TO,0,0,0,C,C,2,No Deposit,,223.0,0,Transient-Party,81.71,1,0,Check-Out,2017-06-01
113078,City Hotel,0,29,2017,May,22,31,0,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,220.0,0,2,Check-Out,2017-06-02
53440,City Hotel,1,193,2016,June,26,20,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,162.0,,39,Transient,120.0,0,0,Canceled,2016-01-18
48380,City Hotel,1,251,2016,March,13,22,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,93,Transient,125.0,0,0,Canceled,2015-10-16
50283,City Hotel,1,295,2016,April,18,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
75002,City Hotel,1,122,2015,July,28,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Transient-Party,76.5,0,1,Canceled,2015-06-17
7244,Resort Hotel,0,150,2016,July,31,30,2,5,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,204.0,0,3,Check-Out,2016-08-06
10874,Resort Hotel,1,3,2017,April,15,9,2,1,2,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,F,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017-04-06
99442,City Hotel,0,180,2016,October,42,10,1,2,1,0.0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,234.0,,0,Transient-Party,120.0,0,0,Check-Out,2016-10-13
37188,Resort Hotel,0,24,2017,June,23,8,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,66.0,0,0,Check-Out,2017-06-10
43467,City Hotel,1,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
119271,City Hotel,0,213,2017,August,35,28,1,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,0,Transient-Party,104.0,0,0,Check-Out,2017-09-01
41180,City Hotel,1,39,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-08-10
60345,City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
28728,Resort Hotel,0,210,2016,September,40,30,3,7,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314.0,,0,Transient,89.34,0,0,Check-Out,2016-10-10
71213,City Hotel,1,96,2017,June,26,29,2,3,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,0,Canceled,2017-03-28
103360,City Hotel,0,7,2016,December,52,19,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,88.0,0,0,Check-Out,2016-12-21
95513,City Hotel,0,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-08-20
49422,City Hotel,0,108,2016,April,16,13,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.3,0,0,Check-Out,2016-04-16
26459,Resort Hotel,0,55,2016,July,32,31,1,0,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,191.0,1,1,Check-Out,2016-08-01
14031,Resort Hotel,0,6,2015,September,39,23,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,240.0,,0,Transient,72.0,0,1,Check-Out,2015-09-24
62885,City Hotel,1,16,2017,January,4,23,1,5,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,0,Canceled,2017-01-14
46611,City Hotel,0,12,2016,January,3,10,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,72.96,0,0,Check-Out,2016-01-17
58216,City Hotel,1,34,2016,October,41,8,2,1,3,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,170.4,0,1,Canceled,2016-09-15
109241,City Hotel,0,143,2017,April,14,6,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,119.0,0,1,Check-Out,2017-04-09
54020,City Hotel,1,72,2016,July,28,6,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Canceled,2016-06-05
35789,Resort Hotel,0,46,2017,April,17,28,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,115.0,0,0,Check-Out,2017-05-02
89481,City Hotel,0,189,2016,May,21,19,0,3,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-05-22
1674,Resort Hotel,0,0,2015,September,37,9,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,146.0,1,0,Check-Out,2015-09-10
12565,Resort Hotel,1,55,2017,July,27,4,2,8,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,531.0,,0,Transient,113.0,0,0,Canceled,2017-05-12
59030,City Hotel,1,163,2016,October,43,20,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-05-10
107447,City Hotel,0,7,2017,March,10,10,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.67,0,1,Check-Out,2017-03-13
